"YEAR","TYPE","INDICATOR","PERCENT"
2001,"Total","Tobacco Advertisements Near Candy",28.2
2002,"Total","Tobacco Advertisements Near Candy",24.44
2003,"Total","Tobacco Advertisements Near Candy",24.42
2004,"Total","Tobacco Advertisements Near Candy",24.09
2005,"Total","Tobacco Advertisements Near Candy",16.72
2006,"Total","Tobacco Advertisements Near Candy",19.98
2007,"Total","Tobacco Advertisements Near Candy",15.1
2008,"Total","Tobacco Advertisements Near Candy",12.32
2009,"Total","Tobacco Advertisements Near Candy",15.21
2010,"Total","Tobacco Advertisements Near Candy",12.96
2011,"Total","Tobacco Advertisements Near Candy",6.89
2012,"Total","Tobacco Advertisements Near Candy",5.89
2013,"Total","Tobacco Advertisements Near Candy",6.07
2014,"Total","Tobacco Advertisements Near Candy",2.74
2015,"Total","Tobacco Advertisements Near Candy",0.6
2016,"Total","Tobacco Advertisements Near Candy",2.83
2017,"Total","Tobacco Advertisements Near Candy",3.81
2001,"Total","Tobacco Advertisements Below Three Feet",29.17
2002,"Total","Tobacco Advertisements Below Three Feet",29.03
2003,"Total","Tobacco Advertisements Below Three Feet",23.28
2004,"Total","Tobacco Advertisements Below Three Feet",24.62
2005,"Total","Tobacco Advertisements Below Three Feet",20.76
2006,"Total","Tobacco Advertisements Below Three Feet",22.14
2007,"Total","Tobacco Advertisements Below Three Feet",19.69
2008,"Total","Tobacco Advertisements Below Three Feet",13.75
2009,"Total","Tobacco Advertisements Below Three Feet",10.5
2010,"Total","Tobacco Advertisements Below Three Feet",11.66
2011,"Total","Tobacco Advertisements Below Three Feet",6.83
2012,"Total","Tobacco Advertisements Below Three Feet",5.3
2013,"Total","Tobacco Advertisements Below Three Feet",7.7
2014,"Total","Tobacco Advertisements Below Three Feet",1.32
2015,"Total","Tobacco Advertisements Below Three Feet",0.52
2016,"Total","Tobacco Advertisements Below Three Feet",0.32
2017,"Total","Tobacco Advertisements Below Three Feet",2.43
